date,class,professor,prof_g_p,q_or_a,student_g_p,time,cont_call,number_m_p,number_w_p
10/2/18,203,Sam,w,a,m,1,1,2,0
10/2/18,203,Sam,w,a,w,1,1,3,2
10/2/18,203,Sam,w,a,w,1,1,1,1
10/2/18,203,Sam,w,a,w,1,1,0,4
10/2/18,203,Sam,w,a,w,1,0,,1
10/2/18,203,Sam,w,a,m,1,0,1,
10/2/18,203,Sam,w,a,w,1,0,,1
10/2/18,203,Sam,w,a,m,1,0,1,
10/2/18,203,Sam,w,a,w,2,0,,1
10/2/18,203,Sam,w,q,m,2,0,1,
10/2/18,203,Sam,w,a,w,2,1,1,2
10/2/18,203,Sam,w,a,m,2,1,2,0
10/2/18,203,Sam,w,q,m,2,0,1,
10/2/18,203,Sam,w,q,m,2,0,1,
10/2/18,203,Sam,w,q,m,2,1,1,1
10/2/18,203,Sam,w,q,m,2,0,1,
10/2/18,203,Sam,w,q,w,2,0,,1
10/2/18,203,Sam,w,q,m,3,0,1,
10/2/18,203,Sam,w,q,m,3,0,1,
10/2/18,203,Sam,w,q,m,3,0,1,
10/4/18,203,Sam,w,a,w,1,0,,
10/4/18,203,Sam,w,a,w,1,0,,
10/4/18,203,Sam,w,a,m,1,1,1,1
10/4/18,203,Sam,w,a,w,1,1,1,1
10/4/18,203,Sam,w,a,w,1,0,,
10/4/18,203,Sam,w,a,m,1,0,,
10/4/18,203,Sam,w,a,w,1,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,q,m,2,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,q,w,2,0,,
10/4/18,203,Sam,w,a,w,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,m,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,m,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,w,3,0,,
10/4/18,203,Sam,w,q,m,3,0,,
10/4/18,203,Sam,w,a,m,3,1,1,1
10/4/18,203,Sam,w,a,m,3,1,1,1
10/4/18,203,Sam,w,a,w,3,0,,
